File,Language,Participant,Item_type,Item_num,Focus,TP,Word,Syll,Syll_num,Prosodic_Prom,min_time,max_time,F0_mean,F0_min,F0_max,F0_range,env_mean,env_min,env_max,env_range,duration,Gender,Age,tier_num,tier_name,tier_type,tier_xmin,tier_xmax,xmin,xmax,text
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,NA,<p>,4,NA,3463.00000000002,3666,NA,NA,NA,NA,0.02294425071529349,0.0150347454871519,0.038538318022742,0.02350357253559009,202.99999999998,male,19,11,Syll,IntervalTier,0,4.64499999999998,3463.00000000002,3666,<p>
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,A,ne,5,2,3666,3910.00000000003,NA,NA,NA,NA,0.05184444939012489,0.0180936882447536,0.0652719150472875,0.04717822680253389,244.00000000003,male,19,11,Syll,IntervalTier,0,4.64499999999998,3666,3910.00000000003,ne
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,A,post,6,NA,3910.00000000003,4088.0000000000196,NA,NA,NA,NA,0.0435538087660551,0.0282952637269274,0.0586178073718374,0.03032254364491,177.99999999998954,male,19,11,Syll,IntervalTier,0,4.64499999999998,3910.00000000003,4088.0000000000196,post
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,N,qui,2,1,2718.99999999999,2865.00000000001,NA,NA,NA,NA,0.0467712920028687,0.0356206201879379,0.0705813755686669,0.03496075538072899,146.00000000002,male,19,11,Syll,IntervalTier,0,4.15100000000001,2718.99999999999,2865.00000000001,qui
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,N,post,3,NA,2865.00000000001,3101,NA,NA,NA,NA,0.0776963943810241,0.0524776732106509,0.0911450316776582,0.03866735846700729,235.99999999999,male,19,11,Syll,IntervalTier,0,4.15100000000001,2865.00000000001,3101,post
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,NA,<p>,4,NA,3101,3304.00000000003,NA,NA,NA,NA,0.03622794111179937,0.0219346595645081,0.0498774432576693,0.0279427836931612,203.00000000003,male,19,11,Syll,IntervalTier,0,4.15100000000001,3101,3304.00000000003,<p>
C01_T_03_I,Catalan,1,target,3,information,El bolígraf blau,N,pre,1,NA,2310,2377.99999999999,NA,NA,NA,NA,0.05133868434107529,0.0477120704228672,0.0567323096488166,0.00902023922594939,67.99999999999,male,19,11,Syll,IntervalTier,0,3.51400000000001,2310,2377.99999999999,pre
C01_T_03_I,Catalan,1,target,3,information,El bolígraf blau,A,blau,5,2,2889.00000000001,3249.00000000002,NA,NA,NA,NA,0.0499149075073191,0.0197624868187577,0.071099554478592,0.0513370676598343,360.00000000001,male,19,11,Syll,IntervalTier,0,3.51400000000001,2889.00000000001,3249.00000000002,blau
C01_T_04_C,Catalan,1,target,4,contrastive,L'espelma de color negre,NC,lor_pre,6,2,3098.99999999999,3312.99999999999,NA,NA,NA,NA,0.14660172535900876,0.100824807949046,0.179304126785784,0.078479318836738,214,male,19,11,Syll,IntervalTier,0,4.39600000000002,3098.99999999999,3312.99999999999,lor_pre
C01_T_04_C,Catalan,1,target,4,contrastive,L'espelma de color negre,NA,<p>,7,NA,3312.99999999999,3447.99999999998,NA,NA,NA,NA,0.0804539140580307,0.0608915452195761,0.0977748609968155,0.0368833157772394,134.99999999999,male,19,11,Syll,IntervalTier,0,4.39600000000002,3312.99999999999,3447.99999999998,<p>
