Participant;Language;Gender;Age;Native_language;Other_languages;Residential_area;Place_of_birth;Parent_1;Parent_2;Degree;Speech_impairment;Auditive_impariment;Movement_impairment;Musicality;more_to_come
VPN01;German;male;28;German;French, English;Frankfurt;Frankfurt;French;German;Abitur;no;no;no;yes;
VPN02;German;male;27;German;English;Frankfurt;Frankfurt;German;German;Fachabi;no;no;no;no;
VPN03;German;male;35;German;English;Frankfurt;Leipzig;German;German;Master;no;yes;no;no;
VPN04;German;female;24;German;English;Frankfurt;Aschaffenburg;German;German;Bachelor;no;no;no;yes;
VPN05;German;female;31;German;English, Spanish;Frankfurt;Frankfurt;German;German;Bachelor;no;no;no;no;
VPN06;German;male;48;German;English;Frankfurt;Frankfurt;German;German;Abitur;no;no;no;yes;
VPN07;German;female;27;German;English, Japanese;Binau;Dillenburg;German;German;Abitur;no;no;no;yes;
VPN08;German;female;28;German;English, Swedish, French;Darmstadt;Darmstadt;German;German;Master;no;no;no;yes;
VPN09;German;female;22;German;Amazighisch, English, French, Daria;Frankfurt;Frankfurt;Amazighisch;Amazighisch;Abitur;no;no;no;no;
VPN10;German;male;25;German;English, French;Frankfurt;Frankfurt;German;German;Abitur;no;no;no;no;
VPN11;German;female;22;German;English, Catalan, Castellano;Aachen;Frankfurt;German;German;Abitur;no;no;no;yes;
VPN12;German;male;23;German;English, Spanish;Frankfurt;Frankfurt;German;German;Abitur;no;no;no;no;
VPN13;German;male;26;German;Vietnamese, English, French;Bad Homburg;Weißenfels;Vietnamese;Vietnamese;Abitur;no;no;no;no;
VPN14;German;male;33;German;English, Spanish, French, Latin, Norwegian, Hausa, Somali, Russian, Plattdeutsch;Frankfurt;Berlin;German;German;PhD;no;no;no;yes;
VPN15;German;female;21;German;English, French, Spanish, Hebrew, Indonesian;Frankfurt;Saabrücken;German;German;Abitur;no;no;no;yes;
VPN16;German;male;33;German;Russian, English, French;Frankfurt;Kustanaj;Russian;Russian;Abitur;no;no;yes (no use of legs, paralyzed?);no;
VPN17;German;female;27;German;English, French;Frankfurt;Bad Homburg;German;German;Abitur;no;no;no;no;
VPN18;German;female;23;;;;;;;;;;;;
VPN19;German;female;23;;;;;;;;;;;;
VPN20;German;female;23;;;;;;;;;;;;
VPN21;German;female;22;;;;;;;;;;;;
VPN22;German;male;34;;;;;;;;;;;;
VPN23;German;female;25;;;;;;;;;;;;
VPN24;German;female;76;;;;;;;;;;;;
VPN25;German;female;22;;;;;;;;;;;;
VPN26;German;female;30;;;;;;;;;;;;
VPN27;German;male;35;;;;;;;;;;;;
VPN28;German;male;26;;;;;;;;;;;;
VPN29;German;male;26;;;;;;;;;;;;
VPN30;German;female;22;;;;;;;;;;;;
VPN31;German;female;22;;;;;;;;;;;;
VPN32;German;female;19;;;;;;;;;;;;
VPN33;German;female;19;;;;;;;;;;;;
VPN34;German;female;21;;;;;;;;;;;;
VPN35;German;male;24;;;;;;;;;;;;
FOC_CAT_1;Catalan;male;19;;;;;;;;;;;;
FOC_CAT_2;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_3;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_4;Catalan;female;18;;;;;;;;;;;;
FOC_CAT_5;Catalan;male;29;;;;;;;;;;;;
FOC_CAT_6;Catalan;male;36;;;;;;;;;;;;
FOC_CAT_7;Catalan;female;21;;;;;;;;;;;;
FOC_CAT_8;Catalan;female;21;;;;;;;;;;;;
FOC_CAT_9;Catalan;female;22;;;;;;;;;;;;
FOC_CAT_10;Catalan;female;18;;;;;;;;;;;;
FOC_CAT_11;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_12;Catalan;female;18;;;;;;;;;;;;
FOC_CAT_13;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_14;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_15;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_16;Catalan;male;20;;;;;;;;;;;;
FOC_CAT_17;Catalan;female;21;;;;;;;;;;;;
FOC_CAT_18;Catalan;female;21;;;;;;;;;;;;
FOC_CAT_19;Catalan;female;27;;;;;;;;;;;;
FOC_CAT_20;Catalan;male;39;;;;;;;;;;;;
FOC_CAT_21;Catalan;female;23;;;;;;;;;;;;
FOC_CAT_22;Catalan;female;20;;;;;;;;;;;;
FOC_CAT_23;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_24;Catalan;male;24;;;;;;;;;;;;
FOC_CAT_25;Catalan;female;18;;;;;;;;;;;;
FOC_CAT_26;Catalan;female;18;;;;;;;;;;;;
FOC_CAT_27;Catalan;female;19;;;;;;;;;;;;
FOC_CAT_28;Catalan;male;20;;;;;;;;;;;;
FOC_CAT_29;Catalan;male;20;;;;;;;;;;;;
FOC_CAT_30;Catalan;male;20;;;;;;;;;;;;
FOC_CAT_31;Catalan;male;23;;;;;;;;;;;;
FOC_CAT_32;Catalan;male;23;;;;;;;;;;;;
FOC_CAT_33;Catalan;female;20;;;;;;;;;;;;
FOC_CAT_34;Catalan;male;18;;;;;;;;;;;;
FOC_CAT_35;Catalan;female;23;;;;;;;;;;;;
