"File","Language","Participant","Item_type","Item_num","Focus","TP","Word","Syll","Syll_num","Prosodic_Prom","min_time","max_time","F0_mean","F0_min","F0_max","F0_range","env_mean","env_min","env_max","env_range","duration","Gender","Age"
"C01_T_01_F","Catalan",1,"target",1,"filler","La maleta negra","N","pre",1,NA,2858,2946.00000000003,121.7259349823,118.986740112305,125.974082946777,6.987342834472,0.0498715889078901,0.0476685123522922,0.0511897908413678,0.0035212784890756,88.00000000003,"male",19
"C01_T_01_F","Catalan",1,"target",1,"filler","La maleta negra","N","le",2,"2",2946.00000000003,3112.00000000002,134.419390360514,123.938270568848,139.521362304688,15.58309173584,0.0589185956739441,0.0466673932110315,0.0700509513789541,0.0233835581679226,165.99999999999,"male",19
"C01_T_01_F","Catalan",1,"target",1,"filler","La maleta negra","N","post",3,NA,3112.00000000002,3463.00000000002,178.429767809416,134.387161254883,196.796920776367,62.409759521484,0.0618287378181779,0.0396581075598516,0.0840741184582336,0.044416010898382,351,"male",19
"C01_T_01_F","Catalan",1,"target",1,"filler","La maleta negra","","<p>",4,NA,3463.00000000002,3666,NA,Inf,-Inf,-Inf,0.0229442507152935,0.0150347454871519,0.038538318022742,0.0235035725355901,202.99999999998,"male",19
"C01_T_01_F","Catalan",1,"target",1,"filler","La maleta negra","A","ne",5,"3",3666,3910.00000000003,NA,Inf,-Inf,-Inf,0.0518444493901249,0.0180936882447536,0.0652719150472875,0.0471782268025339,244.00000000003,"male",19
"C01_T_01_F","Catalan",1,"target",1,"filler","La maleta negra","A","post",6,NA,3910.00000000003,4088.00000000002,NA,Inf,-Inf,-Inf,0.0435538087660551,0.0282952637269274,0.0586178073718374,0.03032254364491,177.99999999999,"male",19
"C01_T_02_I","Catalan",1,"target",2,"information","La forquilla de color blau","N","pre",1,NA,2524,2718.99999999999,132.131832885742,130.033126831055,135.593215942383,5.56008911132801,0.043397963387451,0.0335677523015496,0.0534575617551303,0.0198898094535807,194.99999999999,"male",19
"C01_T_02_I","Catalan",1,"target",2,"information","La forquilla de color blau","N","qui",2,"2",2718.99999999999,2865.00000000001,NA,Inf,-Inf,-Inf,0.0467712920028687,0.0356206201879379,0.0705813755686669,0.034960755380729,146.00000000002,"male",19
"C01_T_02_I","Catalan",1,"target",2,"information","La forquilla de color blau","N","post",3,NA,2865.00000000001,3101,NA,Inf,-Inf,-Inf,0.0776963943810241,0.0524776732106509,0.0911450316776582,0.0386673584670073,235.99999999999,"male",19
"C01_T_02_I","Catalan",1,"target",2,"information","La forquilla de color blau","","<p>",4,NA,3101,3304.00000000003,NA,Inf,-Inf,-Inf,0.0362279411117994,0.0219346595645081,0.0498774432576693,0.0279427836931612,203.00000000003,"male",19
"C01_T_02_I","Catalan",1,"target",2,"information","La forquilla de color blau","NC","lor_pre",6,"0",3540.00000000002,3646.99999999999,143.088237762451,141.554763793945,144.562149047852,3.00738525390699,0.0748578910185059,0.0556610371566253,0.0848229381757313,0.029161901019106,106.99999999997,"male",19
"C01_T_02_I","Catalan",1,"target",2,"information","La forquilla de color blau","A","blau",7,"1",3646.99999999999,3940,140.223892211914,138.966003417969,141.237045288086,2.27104187011699,0.0444750011927207,0.0219706520767299,0.0776371997816614,0.0556665477049315,293.00000000001,"male",19
