"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","C31_T_34_B",15,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"2","C31_T_34_B",25,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"3","C31_T_34_B",35,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"4","C31_T_34_B",45,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"5","C31_T_34_B",55,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"6","C31_T_34_B",65,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"7","C31_T_34_B",75,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"8","C31_T_34_B",85,0,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"9","C31_T_34_B",95,0.0199618538243811,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"10","C31_T_34_B",105,0.0397506652021179,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"11","C31_T_34_B",115,0.0394288171357243,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"12","C31_T_34_B",125,0.0391762115162518,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"13","C31_T_34_B",135,0.0390324640959138,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"14","C31_T_34_B",145,0.0390347014883446,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"15","C31_T_34_B",155,0.0391891593192483,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"16","C31_T_34_B",165,0.0394532704951008,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"17","C31_T_34_B",175,0.039776202118346,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"18","C31_T_34_B",185,0.0401077363543565,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"19","C31_T_34_B",195,0.0403772510945834,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"20","C31_T_34_B",205,0.0405284044857245,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"21","C31_T_34_B",215,0.0405294682911548,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"22","C31_T_34_B",225,0.0403517329040238,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"23","C31_T_34_B",235,0.0399874216145332,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"24","C31_T_34_B",245,0.0394376949100747,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"25","C31_T_34_B",255,0.0387484956272544,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"26","C31_T_34_B",265,0.038048248617049,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"27","C31_T_34_B",275,0.0374763377908366,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"28","C31_T_34_B",285,0.0371232842142983,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"29","C31_T_34_B",295,0.0370263829709078,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"30","C31_T_34_B",305,0.0371903610976706,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"31","C31_T_34_B",315,0.0376046033289958,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"32","C31_T_34_B",325,0.0382103025023311,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"33","C31_T_34_B",335,0.0389151682913717,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"34","C31_T_34_B",345,0.0395988923171413,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"35","C31_T_34_B",355,0.0400973356372167,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"36","C31_T_34_B",365,0.0402860194816563,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"37","C31_T_34_B",375,0.0401551365703816,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"38","C31_T_34_B",385,0.0397719475924196,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"39","C31_T_34_B",395,0.0392710034239167,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"40","C31_T_34_B",405,0.038803429415955,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"41","C31_T_34_B",415,0.0384590900184672,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"42","C31_T_34_B",425,0.0382785449270135,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"43","C31_T_34_B",435,0.0382748055933756,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"44","C31_T_34_B",445,0.0384387473756116,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"45","C31_T_34_B",455,0.0386837353389324,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"46","C31_T_34_B",465,0.0389112216106344,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"47","C31_T_34_B",475,0.0390880383773247,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"48","C31_T_34_B",485,0.0391898331890105,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"49","C31_T_34_B",495,0.0391480975423208,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"50","C31_T_34_B",505,0.0388972599585221,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"51","C31_T_34_B",515,0.0384078884708501,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"52","C31_T_34_B",525,0.0376916463353723,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"53","C31_T_34_B",535,0.0368222143750628,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"54","C31_T_34_B",545,0.0359296218237065,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"55","C31_T_34_B",555,0.0351396820134652,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
"56","C31_T_34_B",565,0.0345280707082303,0,NA,NA,"",NA,NA,NA,31,"Catalan","target",34,"background","male",23,"Catalan, Spanish"
