"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","C35_T_12_R",15,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"2","C35_T_12_R",25,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"3","C35_T_12_R",35,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"4","C35_T_12_R",45,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"5","C35_T_12_R",55,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"6","C35_T_12_R",65,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"7","C35_T_12_R",75,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"8","C35_T_12_R",85,0,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"9","C35_T_12_R",95,0.00420567186653998,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"10","C35_T_12_R",105,0.00848510807958752,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"11","C35_T_12_R",115,0.00863983824826712,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"12","C35_T_12_R",125,0.00880966030820686,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"13","C35_T_12_R",135,0.00899443178846306,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"14","C35_T_12_R",145,0.00919124555831359,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"15","C35_T_12_R",155,0.0093948348962779,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"16","C35_T_12_R",165,0.00959352115093884,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"17","C35_T_12_R",175,0.0097731536244687,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"18","C35_T_12_R",185,0.00992301219553078,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"19","C35_T_12_R",195,0.0100331101455312,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"20","C35_T_12_R",205,0.0100987604606902,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"21","C35_T_12_R",215,0.0101235054047956,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"22","C35_T_12_R",225,0.0101163716137282,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"23","C35_T_12_R",235,0.0100907887791666,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"24","C35_T_12_R",245,0.0100641658297347,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"25","C35_T_12_R",255,0.0100386824973655,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
"26","C35_T_12_R",265,0.0100119516624131,0,NA,NA,"",NA,NA,NA,35,"Catalan","target",12,"corrective","female",23,"Catalan"
