"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age"
"1","G02_T_26_R",15,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"2","G02_T_26_R",25,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"3","G02_T_26_R",35,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"4","G02_T_26_R",45,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"5","G02_T_26_R",55,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"6","G02_T_26_R",65,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"7","G02_T_26_R",75,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"8","G02_T_26_R",85,0,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"9","G02_T_26_R",95,0.000480357198097721,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"10","G02_T_26_R",105,0.000961212856280755,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"11","G02_T_26_R",115,0.000962432323551974,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"12","G02_T_26_R",125,0.000963874742524142,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"13","G02_T_26_R",135,0.000965264336907491,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"14","G02_T_26_R",145,0.000966616081492294,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"15","G02_T_26_R",155,0.000967448138290861,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"16","G02_T_26_R",165,0.000966691559242482,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
"17","G02_T_26_R",175,0.000963613326740372,0,NA,NA,NA,NA,NA,NA,2,"German","target",26,"corrective","male",27
