"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age"
"1","G04_T_32B",15,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"2","G04_T_32B",25,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"3","G04_T_32B",35,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"4","G04_T_32B",45,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"5","G04_T_32B",55,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"6","G04_T_32B",65,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"7","G04_T_32B",75,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"8","G04_T_32B",85,0,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"9","G04_T_32B",95,0.00070543285086249,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"10","G04_T_32B",105,0.00139175530591923,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"11","G04_T_32B",115,0.00135954286849797,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"12","G04_T_32B",125,0.00136538699584674,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"13","G04_T_32B",135,0.00148306769540246,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"14","G04_T_32B",145,0.0018169242349429,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"15","G04_T_32B",155,0.00247596818973014,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"16","G04_T_32B",165,0.003549690567257,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"17","G04_T_32B",175,0.00509174736037891,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"18","G04_T_32B",185,0.00711381533164183,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"19","G04_T_32B",195,0.00956882773595897,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"20","G04_T_32B",205,0.0123337971301949,191.68440246582,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"21","G04_T_32B",215,0.0152227197748931,179.783981323242,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"22","G04_T_32B",225,0.0180193463330212,186.336151123047,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"23","G04_T_32B",235,0.0205158810076515,183.175521850586,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"24","G04_T_32B",245,0.0225345274749678,174.70295715332,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"25","G04_T_32B",255,0.0239356159401586,177.347412109375,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"26","G04_T_32B",265,0.024632934770244,172.625579833984,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"27","G04_T_32B",275,0.0246128898709691,167.220367431641,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"28","G04_T_32B",285,0.023963636285167,169.088943481445,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"29","G04_T_32B",295,0.0228929016270356,170.125350952148,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"30","G04_T_32B",305,0.0216951272374765,168.576324462891,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"31","G04_T_32B",315,0.0206544614801069,159.964645385742,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"32","G04_T_32B",325,0.0199668687362066,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"33","G04_T_32B",335,0.0197335910647822,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"34","G04_T_32B",345,0.0199685848795435,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"35","G04_T_32B",355,0.0205948153315442,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"36","G04_T_32B",365,0.0214747846008893,176.793411254883,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"37","G04_T_32B",375,0.0224441153964145,171.797286987305,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"38","G04_T_32B",385,0.0233405541173744,182.975448608398,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"39","G04_T_32B",395,0.0240342745515363,192.046981811523,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"40","G04_T_32B",405,0.0244329357397421,207.72102355957,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"41","G04_T_32B",415,0.0244865045867119,219.496276855469,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"42","G04_T_32B",425,0.02417528414365,225.921615600586,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"43","G04_T_32B",435,0.0235140681746008,233.563919067383,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"44","G04_T_32B",445,0.0225684250300793,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"45","G04_T_32B",455,0.0214402354163093,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"46","G04_T_32B",465,0.0202415225760816,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"47","G04_T_32B",475,0.0190691305436419,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"48","G04_T_32B",485,0.017975286016591,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"49","G04_T_32B",495,0.0169549618915176,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
"50","G04_T_32B",505,0.0159932423381638,0,NA,NA,NA,NA,NA,NA,4,"German","target",NA,"unknown","female",24
