"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G16_T_16_R",15,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"2","G16_T_16_R",25,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"3","G16_T_16_R",35,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"4","G16_T_16_R",45,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"5","G16_T_16_R",55,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"6","G16_T_16_R",65,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"7","G16_T_16_R",75,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"8","G16_T_16_R",85,0,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"9","G16_T_16_R",95,4.62749196266818e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"10","G16_T_16_R",105,9.25956120249418e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"11","G16_T_16_R",115,9.27296546267483e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"12","G16_T_16_R",125,9.29600829526323e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"13","G16_T_16_R",135,9.33113479487207e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"14","G16_T_16_R",145,9.37870269481876e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"15","G16_T_16_R",155,9.43571805833249e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"16","G16_T_16_R",165,9.49808467050517e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"17","G16_T_16_R",175,9.56237640373096e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"18","G16_T_16_R",185,9.62655026198595e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"19","G16_T_16_R",195,9.68896157927603e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"20","G16_T_16_R",205,9.74825846891486e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"21","G16_T_16_R",215,9.80349428638397e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"22","G16_T_16_R",225,9.85091784802341e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"23","G16_T_16_R",235,9.88558667907492e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"24","G16_T_16_R",245,9.90437184972124e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"25","G16_T_16_R",255,9.90562986105579e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"26","G16_T_16_R",265,9.89103914334129e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"27","G16_T_16_R",275,9.86362647680962e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"28","G16_T_16_R",285,9.82796336753453e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"29","G16_T_16_R",295,9.78924661501912e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
"30","G16_T_16_R",305,9.7487491519774e-05,0,NA,NA,NA,NA,NA,NA,16,"German","target",16,"corrective","male",33,"German"
