"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G19_P_07_B",15,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"2","G19_P_07_B",25,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"3","G19_P_07_B",35,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"4","G19_P_07_B",45,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"5","G19_P_07_B",55,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"6","G19_P_07_B",65,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"7","G19_P_07_B",75,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"8","G19_P_07_B",85,0,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"9","G19_P_07_B",95,4.91961492650571e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"10","G19_P_07_B",105,9.8263054899598e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"11","G19_P_07_B",115,9.7938135702932e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"12","G19_P_07_B",125,9.74977477177574e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"13","G19_P_07_B",135,9.69944426319721e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"14","G19_P_07_B",145,9.65086250977323e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"15","G19_P_07_B",155,9.60874557924318e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"16","G19_P_07_B",165,9.57229824336783e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"17","G19_P_07_B",175,9.53871521956116e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"18","G19_P_07_B",185,9.50655931362792e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"19","G19_P_07_B",195,9.47728974536842e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"20","G19_P_07_B",205,9.45188726796665e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"21","G19_P_07_B",215,9.43076141779345e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"22","G19_P_07_B",225,9.41545038961861e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"23","G19_P_07_B",235,9.40605438078423e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"24","G19_P_07_B",245,9.40019772843068e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"25","G19_P_07_B",255,9.39578445841168e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"26","G19_P_07_B",265,9.39222739051029e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"27","G19_P_07_B",275,9.38876340257547e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"28","G19_P_07_B",285,9.38265431753677e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"29","G19_P_07_B",295,9.37029261844712e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"30","G19_P_07_B",305,9.35376083445515e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"31","G19_P_07_B",315,9.34068295044284e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"32","G19_P_07_B",325,9.33679535338128e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"33","G19_P_07_B",335,9.34396217604116e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"34","G19_P_07_B",345,9.36066440737065e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"35","G19_P_07_B",355,9.38517037236219e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"36","G19_P_07_B",365,9.41478602422025e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"37","G19_P_07_B",375,9.44520778352311e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"38","G19_P_07_B",385,9.47160181959454e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"39","G19_P_07_B",395,9.48992693383762e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"40","G19_P_07_B",405,9.50048492378471e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"41","G19_P_07_B",415,9.50568828456308e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"42","G19_P_07_B",425,9.5074141123595e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"43","G19_P_07_B",435,9.50908509450237e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"44","G19_P_07_B",445,9.51368438724282e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"45","G19_P_07_B",455,9.52196239227201e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"46","G19_P_07_B",465,9.53637655058292e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"47","G19_P_07_B",475,9.55871599411031e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"48","G19_P_07_B",485,9.58788157691268e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"49","G19_P_07_B",495,9.62580217335745e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"50","G19_P_07_B",505,9.67336733334269e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"51","G19_P_07_B",515,9.72421064956888e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"52","G19_P_07_B",525,9.76965227999071e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"53","G19_P_07_B",535,9.80466311117851e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"54","G19_P_07_B",545,9.82891114243875e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"55","G19_P_07_B",555,9.84230484457093e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"56","G19_P_07_B",565,9.84785584506481e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"57","G19_P_07_B",575,9.85244459057265e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"58","G19_P_07_B",585,9.86327567521781e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"59","G19_P_07_B",595,9.88429280198394e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"60","G19_P_07_B",605,9.91307150586013e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"61","G19_P_07_B",615,9.9448460410111e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"62","G19_P_07_B",625,9.97499974691015e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"63","G19_P_07_B",635,9.9987396005326e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"64","G19_P_07_B",645,0.000100141278671583,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"65","G19_P_07_B",655,0.000100227802359139,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"66","G19_P_07_B",665,0.000100252260094512,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"67","G19_P_07_B",675,0.000100234333742966,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"68","G19_P_07_B",685,0.000100205110033392,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"69","G19_P_07_B",695,0.000100133029013653,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"70","G19_P_07_B",705,9.99608437046689e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"71","G19_P_07_B",715,9.96867062694712e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"72","G19_P_07_B",725,9.93702949615674e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"73","G19_P_07_B",735,9.90739908937988e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"74","G19_P_07_B",745,9.88212128349547e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"75","G19_P_07_B",755,9.86341566256574e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"76","G19_P_07_B",765,9.85319604819641e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"77","G19_P_07_B",775,9.84901157463391e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"78","G19_P_07_B",785,9.84659257068635e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"79","G19_P_07_B",795,9.84785580972832e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"80","G19_P_07_B",805,9.85809305443658e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"81","G19_P_07_B",815,9.87874018869231e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"82","G19_P_07_B",825,9.90901961063153e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"83","G19_P_07_B",835,9.94741704661632e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"84","G19_P_07_B",845,9.9935778452385e-05,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"85","G19_P_07_B",855,0.000100484796485339,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"86","G19_P_07_B",865,0.000101115777766656,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"87","G19_P_07_B",875,0.000101771175560891,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"88","G19_P_07_B",885,0.000102373949818193,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"89","G19_P_07_B",895,0.000102899591333637,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"90","G19_P_07_B",905,0.000103338241355207,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"91","G19_P_07_B",915,0.000103632220242962,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"92","G19_P_07_B",925,0.000103715493833349,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"93","G19_P_07_B",935,0.000103649255769358,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"94","G19_P_07_B",945,0.000104334973310029,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"95","G19_P_07_B",955,0.000107772741341523,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"96","G19_P_07_B",965,0.00011875244836227,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"97","G19_P_07_B",975,0.000158112692886751,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"98","G19_P_07_B",985,0.000275610972072595,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"99","G19_P_07_B",995,0.000546033671373023,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"100","G19_P_07_B",1005,0.00104882580989477,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"101","G19_P_07_B",1015,0.00184640338805589,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"102","G19_P_07_B",1025,0.00297707541845789,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"103","G19_P_07_B",1035,0.00445562182294145,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"104","G19_P_07_B",1045,0.0062622758127192,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"105","G19_P_07_B",1055,0.00834559977518625,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"106","G19_P_07_B",1065,0.0106516151909799,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"107","G19_P_07_B",1075,0.0131522264913067,259.980499267578,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"108","G19_P_07_B",1085,0.0158420654694854,262.712310791016,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"109","G19_P_07_B",1095,0.0187250904094561,232.329177856445,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"110","G19_P_07_B",1105,0.0217811067464094,215.335601806641,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"111","G19_P_07_B",1115,0.0249346216379258,213.912673950195,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"112","G19_P_07_B",1125,0.0280786060325193,214.406875610352,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"113","G19_P_07_B",1135,0.0311038360559764,208.702819824219,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"114","G19_P_07_B",1145,0.0339176156316594,213.772064208984,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"115","G19_P_07_B",1155,0.0364422038296121,219.818771362305,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"116","G19_P_07_B",1165,0.0386087577865481,219.564346313477,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"117","G19_P_07_B",1175,0.0403620178496483,214.381423950195,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"118","G19_P_07_B",1185,0.0416588713227891,211.387298583984,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"119","G19_P_07_B",1195,0.0424858850514089,208.708892822266,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"120","G19_P_07_B",1205,0.0429195590250608,207.848449707031,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"121","G19_P_07_B",1215,0.0431418203802322,207.171890258789,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"122","G19_P_07_B",1225,0.0433153364813248,208.013214111328,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"123","G19_P_07_B",1235,0.0435078855183073,208.904174804688,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"124","G19_P_07_B",1245,0.0437522476950657,208.584884643555,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"125","G19_P_07_B",1255,0.0440794918928513,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"126","G19_P_07_B",1265,0.0445109361385815,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"127","G19_P_07_B",1275,0.0450099259628067,0,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"128","G19_P_07_B",1285,0.0454869019316368,225.265777587891,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"129","G19_P_07_B",1295,0.0458970729470236,227.321411132812,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"130","G19_P_07_B",1305,0.0462970819207721,227.606246948242,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"131","G19_P_07_B",1315,0.0468475076225349,234.045776367188,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"132","G19_P_07_B",1325,0.0477315673965317,231.441207885742,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"133","G19_P_07_B",1335,0.0490500887992359,215.06298828125,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"134","G19_P_07_B",1345,0.0508456003051806,224.826141357422,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"135","G19_P_07_B",1355,0.0531511883121295,226.566497802734,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"136","G19_P_07_B",1365,0.0559679727225351,236.450592041016,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"137","G19_P_07_B",1375,0.0592423776935908,246.490600585938,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"138","G19_P_07_B",1385,0.0628930934677181,241.054611206055,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"139","G19_P_07_B",1395,0.0667177681702517,251.469650268555,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"140","G19_P_07_B",1405,0.0703436852401596,254.421234130859,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"141","G19_P_07_B",1415,0.0733070530202022,232.6474609375,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
"142","G19_P_07_B",1425,0.0752046041249035,233.725677490234,"","","","","1","",19,"German","practice",7,"background","female",23,"German"
