"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G24_P_06_R",15,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"2","G24_P_06_R",25,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"3","G24_P_06_R",35,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"4","G24_P_06_R",45,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"5","G24_P_06_R",55,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"6","G24_P_06_R",65,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"7","G24_P_06_R",75,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"8","G24_P_06_R",85,0,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"9","G24_P_06_R",95,4.72902626786722e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"10","G24_P_06_R",105,9.46196896379845e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"11","G24_P_06_R",115,9.47493256289549e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"12","G24_P_06_R",125,9.49660501648761e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"13","G24_P_06_R",135,9.5229683208418e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"14","G24_P_06_R",145,9.55254745961891e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"15","G24_P_06_R",155,9.58524733991428e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"16","G24_P_06_R",165,9.61730530106669e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"17","G24_P_06_R",175,9.64316956743814e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"18","G24_P_06_R",185,9.6582333613035e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"19","G24_P_06_R",195,9.66238611485504e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"20","G24_P_06_R",205,9.65913994817721e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"21","G24_P_06_R",215,9.65172628709768e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"22","G24_P_06_R",225,9.64485267839559e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"23","G24_P_06_R",235,9.64447636993406e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"24","G24_P_06_R",245,9.65314561060099e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"25","G24_P_06_R",255,9.66944790440631e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"26","G24_P_06_R",265,9.69113527623445e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"27","G24_P_06_R",275,9.71735837514271e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"28","G24_P_06_R",285,9.74915215079571e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"29","G24_P_06_R",295,9.78918647455452e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"30","G24_P_06_R",305,9.83671243795732e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"31","G24_P_06_R",315,9.88794996539337e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"32","G24_P_06_R",325,9.94063732762706e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"33","G24_P_06_R",335,9.99220794228339e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"34","G24_P_06_R",345,0.000100349538792192,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"35","G24_P_06_R",355,0.000100616150264503,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"36","G24_P_06_R",365,0.000100718683180806,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"37","G24_P_06_R",375,0.00010071520250259,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"38","G24_P_06_R",385,0.000100684189136865,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"39","G24_P_06_R",395,0.000100646199779963,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"40","G24_P_06_R",405,0.000100586669397007,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"41","G24_P_06_R",415,0.000100490209719029,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"42","G24_P_06_R",425,0.000100318633238276,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"43","G24_P_06_R",435,0.000100054381047702,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"44","G24_P_06_R",445,9.9750399204797e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"45","G24_P_06_R",455,9.94872546884249e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"46","G24_P_06_R",465,9.93333492184542e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"47","G24_P_06_R",475,9.92985206719934e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"48","G24_P_06_R",485,9.93495891698887e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"49","G24_P_06_R",495,9.94467846599653e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"50","G24_P_06_R",505,9.95582470850343e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"51","G24_P_06_R",515,9.96764994146104e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"52","G24_P_06_R",525,9.98137866077164e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"53","G24_P_06_R",535,9.99825077036657e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"54","G24_P_06_R",545,0.000100174407634719,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"55","G24_P_06_R",555,0.000100347509774779,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"56","G24_P_06_R",565,0.000100429061471012,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"57","G24_P_06_R",575,0.000100325395819073,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"58","G24_P_06_R",585,9.99812868344569e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"59","G24_P_06_R",595,9.94163055120585e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"60","G24_P_06_R",605,9.86781547060442e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"61","G24_P_06_R",615,9.78343922666744e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"62","G24_P_06_R",625,9.69657994272519e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"63","G24_P_06_R",635,9.61374230124954e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"64","G24_P_06_R",645,9.53863829781413e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"65","G24_P_06_R",655,9.47386335120832e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"66","G24_P_06_R",665,9.42101320739257e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"67","G24_P_06_R",675,9.38292071441302e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"68","G24_P_06_R",685,9.36131071464062e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"69","G24_P_06_R",695,9.35490177969153e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"70","G24_P_06_R",705,9.36351912641397e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"71","G24_P_06_R",715,9.38631097981154e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"72","G24_P_06_R",725,9.41716890895843e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"73","G24_P_06_R",735,9.44945503592549e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"74","G24_P_06_R",745,9.48149092037147e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"75","G24_P_06_R",755,9.51448153670007e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"76","G24_P_06_R",765,9.54843914309002e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"77","G24_P_06_R",775,9.58460724703306e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"78","G24_P_06_R",785,9.62479477216143e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"79","G24_P_06_R",795,9.66738076856708e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"80","G24_P_06_R",805,9.70990261785432e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"81","G24_P_06_R",815,9.74917459854121e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"82","G24_P_06_R",825,9.78320980916453e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"83","G24_P_06_R",835,9.81188102930678e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"84","G24_P_06_R",845,9.83365780032376e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"85","G24_P_06_R",855,9.84693562765981e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"86","G24_P_06_R",865,9.85182352669986e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"87","G24_P_06_R",875,9.84858400258562e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"88","G24_P_06_R",885,9.83667015971645e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"89","G24_P_06_R",895,9.81599458946528e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"90","G24_P_06_R",905,9.78802368230368e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"91","G24_P_06_R",915,9.75801387671855e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"92","G24_P_06_R",925,9.73347735622261e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"93","G24_P_06_R",935,9.71756825727065e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"94","G24_P_06_R",945,9.70990488850817e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"95","G24_P_06_R",955,9.712665895679e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"96","G24_P_06_R",965,9.72941955300864e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"97","G24_P_06_R",975,9.75841994217539e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"98","G24_P_06_R",985,9.79342766721508e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"99","G24_P_06_R",995,9.83033370624997e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"100","G24_P_06_R",1005,9.86780797595489e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"101","G24_P_06_R",1015,9.9054995044584e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"102","G24_P_06_R",1025,9.94139852045858e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"103","G24_P_06_R",1035,9.97030148776199e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"104","G24_P_06_R",1045,9.98919232209829e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"105","G24_P_06_R",1055,9.99676329629758e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"106","G24_P_06_R",1065,9.99024273215917e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"107","G24_P_06_R",1075,9.96914698204769e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"108","G24_P_06_R",1085,9.95394573121304e-05,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"109","G24_P_06_R",1095,0.00010038975699998,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"110","G24_P_06_R",1105,0.000105800709167106,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"111","G24_P_06_R",1115,0.000155611272660758,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"112","G24_P_06_R",1125,0.000374844453396596,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"113","G24_P_06_R",1135,0.000935685016007091,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"114","G24_P_06_R",1145,0.00205014408860526,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"115","G24_P_06_R",1155,0.00398477974880057,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"116","G24_P_06_R",1165,0.00697899536182373,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"117","G24_P_06_R",1175,0.0111538725585478,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"118","G24_P_06_R",1185,0.0164472032070347,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"119","G24_P_06_R",1195,0.0226514856169824,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"120","G24_P_06_R",1205,0.0294663538360247,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"121","G24_P_06_R",1215,0.0365066145310017,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
"122","G24_P_06_R",1225,0.0434138063885084,0,"","","","","1","",24,"German","practice",6,"corrective","female",76,"German"
