"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G28_T_F_20",15,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"2","G28_T_F_20",25,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"3","G28_T_F_20",35,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"4","G28_T_F_20",45,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"5","G28_T_F_20",55,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"6","G28_T_F_20",65,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"7","G28_T_F_20",75,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"8","G28_T_F_20",85,0,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"9","G28_T_F_20",95,7.37201654024345e-05,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"10","G28_T_F_20",105,0.000150479117333057,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"11","G28_T_F_20",115,0.0001560340585954,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"12","G28_T_F_20",125,0.000160478839969035,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"13","G28_T_F_20",135,0.000163799005290379,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"14","G28_T_F_20",145,0.00016620014329086,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"15","G28_T_F_20",155,0.000167981325099916,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"16","G28_T_F_20",165,0.000169456708650956,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"17","G28_T_F_20",175,0.000170959446782253,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"18","G28_T_F_20",185,0.000172749909429802,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"19","G28_T_F_20",195,0.000175050162603719,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"20","G28_T_F_20",205,0.000178010247022788,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"21","G28_T_F_20",215,0.000181381115226686,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"22","G28_T_F_20",225,0.000184687424289962,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"23","G28_T_F_20",235,0.000187636537703549,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"24","G28_T_F_20",245,0.000190132908140512,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"25","G28_T_F_20",255,0.000192088247134102,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"26","G28_T_F_20",265,0.000193272936967437,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"27","G28_T_F_20",275,0.000193476444732919,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"28","G28_T_F_20",285,0.000192767237695849,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"29","G28_T_F_20",295,0.000191501793949973,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"30","G28_T_F_20",305,0.00019012030341149,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
"31","G28_T_F_20",315,0.000188940927512821,0,NA,NA,"",NA,NA,NA,28,"German","target",NA,"unknown","male",26,"German"
