"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G32_P_05_C",15,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"2","G32_P_05_C",25,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"3","G32_P_05_C",35,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"4","G32_P_05_C",45,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"5","G32_P_05_C",55,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"6","G32_P_05_C",65,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"7","G32_P_05_C",75,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"8","G32_P_05_C",85,0,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"9","G32_P_05_C",95,4.94014916521246e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"10","G32_P_05_C",105,9.91476382200191e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"11","G32_P_05_C",115,9.97311178554161e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"12","G32_P_05_C",125,0.00010010105444751,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"13","G32_P_05_C",135,0.000100270165147307,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"14","G32_P_05_C",145,0.000100264462537908,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"15","G32_P_05_C",155,0.000100136923345677,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"16","G32_P_05_C",165,9.99352502331205e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"17","G32_P_05_C",175,9.96801255198355e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"18","G32_P_05_C",185,9.93756643126616e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
"19","G32_P_05_C",195,9.90153681532748e-05,0,"","","","","1","",32,"German","practice",5,"contrastive","female",19,"German"
