"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G34_P_03_I",15,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"2","G34_P_03_I",25,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"3","G34_P_03_I",35,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"4","G34_P_03_I",45,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"5","G34_P_03_I",55,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"6","G34_P_03_I",65,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"7","G34_P_03_I",75,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"8","G34_P_03_I",85,0,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"9","G34_P_03_I",95,0.00037265256043903,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"10","G34_P_03_I",105,0.000756031447258769,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"11","G34_P_03_I",115,0.000777932165561433,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"12","G34_P_03_I",125,0.000800275310014946,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"13","G34_P_03_I",135,0.000821463954858145,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"14","G34_P_03_I",145,0.000838927442410573,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"15","G34_P_03_I",155,0.000850682734283263,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"16","G34_P_03_I",165,0.000855955454455366,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"17","G34_P_03_I",175,0.000854556843612943,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"18","G34_P_03_I",185,0.000846517984010706,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"19","G34_P_03_I",195,0.000831639945565271,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"20","G34_P_03_I",205,0.000809812397814012,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"21","G34_P_03_I",215,0.000781213188489272,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"22","G34_P_03_I",225,0.000747315805969903,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"23","G34_P_03_I",235,0.000710411617401169,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"24","G34_P_03_I",245,0.000671910933521379,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"25","G34_P_03_I",255,0.000633133311036318,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"26","G34_P_03_I",265,0.000595520947599657,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"27","G34_P_03_I",275,0.000560466986084462,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"28","G34_P_03_I",285,0.000529447789140718,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"29","G34_P_03_I",295,0.000504159838207221,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"30","G34_P_03_I",305,0.000486084466438172,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"31","G34_P_03_I",315,0.000475562070081716,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"32","G34_P_03_I",325,0.00047300485412783,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"33","G34_P_03_I",335,0.000479559035425921,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"34","G34_P_03_I",345,0.000496672943220178,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"35","G34_P_03_I",355,0.000524834903420652,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"36","G34_P_03_I",365,0.00056324363925788,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"37","G34_P_03_I",375,0.000609683586797018,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"38","G34_P_03_I",385,0.000660397679770323,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"39","G34_P_03_I",395,0.000711488029752124,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"40","G34_P_03_I",405,0.000758310143725462,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"41","G34_P_03_I",415,0.000796298993144328,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"42","G34_P_03_I",425,0.000822159758219518,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"43","G34_P_03_I",435,0.000834118710252415,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"44","G34_P_03_I",445,0.000832310830769073,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
"45","G34_P_03_I",455,0.000818088023047072,0,"","","","","1","",34,"German","practice",3,"information","female",21,"German"
