"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,228.621231079102
1065,226.170608520508
1075,221.529937744141
1085,221.070816040039
1095,226.97331237793
1105,228.344696044922
1115,228.069549560547
1125,224.310913085938
1135,225.598190307617
1145,225.785583496094
1155,224.148513793945
1165,220.868133544922
1175,221.553436279297
1185,218.95979309082
1195,212.893753051758
1205,221.216796875
1215,219.303588867188
1225,216.249313354492
1235,212.807220458984
1245,213.2021484375
1255,211.447769165039
1265,211.469268798828
1275,214.233901977539
1285,216.13508605957
1295,213.078323364258
1305,212.903396606445
1315,207.156219482422
1325,211.713043212891
1335,226.908050537109
1345,218.119125366211
1355,223.252487182617
1365,222.85954284668
1375,223.622680664062
1385,223.641906738281
1395,225.056045532227
1405,214.386352539062
1415,215.354766845703
1425,208.133941650391
1435,202.373031616211
1445,197.590774536133
1455,0
1465,188.852005004883
1475,189.7529296875
1485,186.495666503906
1495,185.632797241211
1505,185.565612792969
1515,189.723327636719
1525,189.320388793945
1535,184.645584106445
1545,188.078567504883
1555,188.855667114258
1565,195.368835449219
1575,201.891738891602
1585,193.97705078125
1595,193.806549072266
1605,193.095825195312
1615,192.771087646484
1625,193.522308349609
1635,178.282775878906
1645,200.208923339844
1655,195.965866088867
1665,194.90901184082
1675,194.708068847656
1685,197.529174804688
1695,203.509384155273
1705,196.057312011719
1715,196.436187744141
1725,194.310012817383
1735,193.571472167969
1745,193.514251708984
1755,193.937759399414
1765,192.765441894531
1775,192.692886352539
1785,190.070755004883
1795,189.492385864258
1805,184.81706237793
1815,182.526336669922
1825,171.660278320312
1835,186.712661743164
1845,189.938171386719
1855,197.488540649414
1865,191.556228637695
1875,189.830215454102
1885,187.909027099609
1895,182.004058837891
1905,186.935607910156
1915,0
1925,186.581161499023
1935,185.235336303711
1945,188.096221923828
1955,0
1965,0
1975,0
1985,0
1995,0
2005,0
2015,0
2025,0
2035,0
2045,0
2055,0
2065,0
2075,0
2085,0
2095,0
2105,0
2115,0
2125,0
2135,0
2145,0
2155,0
2165,0
2175,0
2185,0
2195,0
2205,0
2215,0
2225,0
2235,0
2245,0
2255,0
2265,0
2275,0
2285,0
2295,0
2305,0
2315,0
2325,0
2335,0
2345,0
2355,0
2365,0
2375,0
2385,0
2395,0
2405,0
2415,0
2425,0
2435,0
2445,0
2455,0
2465,0
2475,0
2485,0
2495,0
2505,0
2515,0
2525,0
2535,0
2545,0
2555,0
2565,0
2575,0
2585,0
2595,0
2605,0
2615,0
2625,0
2635,0
2645,0
2655,0
2665,0
2675,0
2685,0
2695,0
2705,0
2715,0
2725,0
2735,0
2745,0
2755,0
2765,0
2775,0
2785,0
2795,0
2805,0
2815,0
2825,0
2835,0
2845,0
2855,0
2865,0
2875,0
2885,0
2895,0
2905,0
2915,0
2925,0
2935,0
2945,0
2955,0
2965,0
2975,0
2985,0
