"fileName","language","participant","itemType","itemNum","focus","annotationNum","annotationNumTarget","word","syllText","syllTextPre","syllTextPost","percProm","duration","duration_noSilence","ampl_median","ampl_sd","ampl_noSilence_median","ampl_noSilence_sd","env_slope","pitch_median_norm","pitch_sd_norm","f0_slope_norm","CPP_median","CPP_sd","flux_median","flux_sd","novelty_median","novelty_sd","specCentroid_median","specCentroid_sd","entropy_median","entropy_sd","entropySh_median","entropySh_sd","HNR_median","HNR_sd","amEnvDep_median","amEnvDep_sd","fmDep_median","fmDep_sd","durationPre","duration_noSilencePre","ampl_medianPre","ampl_sdPre","ampl_noSilence_medianPre","ampl_noSilence_sdPre","env_slopePre","pitch_median_normPre","pitch_sd_normPre","f0_slope_normPre","CPP_medianPre","CPP_sdPre","flux_medianPre","flux_sdPre","novelty_medianPre","novelty_sdPre","specCentroid_medianPre","specCentroid_sdPre","entropy_medianPre","entropy_sdPre","entropySh_medianPre","entropySh_sdPre","HNR_medianPre","HNR_sdPre","amEnvDep_medianPre","amEnvDep_sdPre","fmDep_medianPre","fmDep_sdPre","durationPost","duration_noSilencePost","ampl_medianPost","ampl_sdPost","ampl_noSilence_medianPost","ampl_noSilence_sdPost","env_slopePost","pitch_median_normPost","pitch_sd_normPost","f0_slope_normPost","CPP_medianPost","CPP_sdPost","flux_medianPost","flux_sdPost","novelty_medianPost","novelty_sdPost","specCentroid_medianPost","specCentroid_sdPost","entropy_medianPost","entropy_sdPost","entropySh_medianPost","entropySh_sdPost","HNR_medianPost","HNR_sdPost","amEnvDep_medianPost","amEnvDep_sdPost","fmDep_medianPost","fmDep_sdPost"
"C01_T_01_F_2_N_le_2","Catalan",1,"target",1,"filler",2,3,"N","le","pre","post","2",0.166,0.165,0.0341419040978645,0.0142493546918359,0.0341419040978645,0.0142493546918359,0.00018314209175655,0.741777149395101,-0.724753700229319,0.127599764491386,6.41084063249672,1.85903575942484,0.0093678616476337,0.0825227220942214,0.130292179124379,0.235171873966597,292.822393546361,12.6114914444106,0.323082213081172,0.127866554704833,0.744979611341268,0.0939106120067722,7.90770683224451,3.68386344936245,1,0,0.223732026429403,0.0567722061131753,0.088,0.085,0.0239749123044318,0.0047787982532384,0.0239749123044318,0.0047787982532384,-4.24979102191816e-05,-1.73434780419187,3.64954349176033,0.0571019615139173,8.68217273058922,2.30321868706957,6.82545293839709e-07,1.12664395643432e-06,-0.0239156202837327,0.198542094949419,295.044987221056,25.7380225067351,0.612267466255922,0.0501147145471021,0.860306523968428,0.0250737363591965,4.95829008912824,6.59859487235544,1,0,0.0475702406582343,1.1013717155784,0.351,0.345,0.0313691025851834,0.0178967053097576,0.0313691025851834,0.0178967053097576,-6.90264708258055e-05,-0.728495474210786,-0.253177644532527,0.299484486314868,7.80265562921104,1.10588560574742,0.0078997286523772,0.057383712576625,0.0972486349823814,0.143300885412247,269.744536133926,30.2986226517649,0.410309655978562,0.0646076219641608,0.783123896705443,0.0419210445374627,7.66005569084288,2.81461226131237,0.206864171577449,0.0435976413517362,0.298366335267403,0.00320333783344249
"C01_T_01_F_5_A_ne_3","Catalan",1,"target",1,"filler",5,6,"A","ne",NA,"post","3",0.244,0.235,0.0389185368948748,0.0081883218123392,0.0389185368948748,0.0081883218123392,0.00018995713118301,0.669270045855056,1.60065763442161,-0.468585843479838,7.46015885171631,2.02353994378882,0.00399085482099037,0.0241726257440559,0.0571665251321139,0.176067372420446,284.081083758836,11.4914080251913,0.396398613065648,0.0882010544028669,0.763402560700864,0.0692726210912875,5.52635832866094,2.1351956240363,0.288385881988671,0.0183058236584071,0.485741657278912,1.15551779857644,0.047,0.055,0.0206156371958165,0.0124346026901597,0.0526252698976752,0.0171665113349985,0.00010432275213881,-0.864216990970625,3.64954349176033,-4.7204234618568,5.93586289050791,0.793595537623362,6.82545293839709e-07,0.00136692477433367,-0.0302488274356473,0.266361954873812,275.773958869898,10.3569247125267,0.616491757795357,0.0497970195001316,0.840520997963977,0.022526876961837,4.94866929781456,1.33755783849608,1,0.0774074282162579,0.776627452062364,1.05412116175197,0.178,0.175,0.0125909424828518,0.00594193448653352,0.0125909424828518,0.00594193448653352,-0.00018515427940881,0.813660248041401,-0.903267028697623,-0.380195839601371,6.47792417252698,4.37629308040845,0.23446376943553,0.279496524868856,0.103458586055176,0.142990520854139,282.188730989083,23.2416729809147,0.604280965795769,0.13942986245296,0.8601154157179,0.049282606844883,5.05862318580463,0.945437442076041,1,0,0.0454108132164256,0.00395309851850777
"C01_T_02_I_2_N_qui_2","Catalan",1,"target",2,"information",2,3,"N","qui","pre","post","2",0.146,0.145,0.0371634696691501,0.0244489351300592,0.0371634696691501,0.0244489351300592,0.00021664847758317,1.39330077702113,0.361559508122193,-0.47040037613338,7.24816812316434,1.334446271981,0.00976685355610207,0.0216939187341426,0.0510739909328604,0.202848459478034,298.62325687033,33.5337034341596,0.364458109311623,0.149377720655664,0.742508857371029,0.10180578962416,9.46925097273739,6.44231000001952,1,0.14300412400179,1.55572683628029,0,0.195,0.185,0.0184786110334719,0.00887989025063485,0.0184786110334719,0.00887989025063485,9.76637813583258e-05,-1.67370042682146,-0.908873214639103,0.00487954049305888,7.49052242436461,1.83730802135919,0.019984427289189,0.200376657450628,0.105696072384215,0.216487771679657,275.773958869898,27.2781912284206,0.545927150585825,0.110282846912315,0.853688022268958,0.0433081645795558,6.52278841380653,1.16195863047222,1,0,0.0578893791509354,0.038530992549127,0.236,0.235,0.0419610450950699,0.0165959474814266,0.0419610450950699,0.0165959474814266,-0.00013599975591795,-0.794334862644821,-0.658274505602126,0.774017398342027,7.16226737881639,1.37313467124228,0.00434503423394772,0.0264314635187003,0.0142936951328482,0.16117991913193,293.431709451147,22.7463928688788,0.458835187470289,0.0724954696226927,0.822555650446945,0.0287560125769634,6.53505741187887,1.33248549744132,0.283965084085369,0.0556518352094967,0.306068979946488,0.0644747680877484
"C01_T_02_I_7_A_blau_1","Catalan",1,"target",2,"information",7,8,"A","blau","lorpre",NA,"1",0.293,0.285,0.014400897089754,0.0111889696935016,0.014400897089754,0.0111889696935016,-0.00018215240020562,0.718305206783801,-0.627013084812446,0.0158159356137697,6.06797562869607,1.33293827799491,0.0214622320248001,0.167571253190954,0.0677148602871544,0.188627212139041,284.488893858423,24.1331229368552,0.55777008719472,0.156891046975793,0.886288338878805,0.067998458266488,5.5493904787279,1.30002228270944,0.233539126757489,0.006427179688362,0.178752353543112,0.021371803127401,0.107,0.105,0.0556813269361593,0.0109268932463675,0.0556813269361593,0.0109268932463675,0.00028634936183505,0.823810360597561,-0.924416802521394,0.0909943790534401,7.04568083544507,1.37026644547154,0.00143695354385553,0.00335992584399726,0.0188646940518037,0.194435590528349,293.413364316278,8.70648376613296,0.344395164382659,0.0497970195001316,0.681644398955443,0.0403352630172672,14.5495980687772,3.15877396564021,1,0,4.01986780140268,0,0.085,0.075,0.0109817389854585,0.00829683367072686,0.00468976750723412,0.0175860175317309,-0.00040857401742088,0.894894028198548,-0.904842480178976,-0.670911389704393,6.0772790480205,0.236130184939093,0.23446376943553,0.301440023926162,0.101737582430458,0.138890416826762,260.869742639316,33.1852033960887,0.674935023145371,0.158231655765241,0.805749674220969,0.0264929505824683,10.3098609287988,6.4423687245008,1,0,0.0223546824255994,0.729854853190075
"C01_T_03_I_2_N_li_2","Catalan",1,"target",3,"information",2,3,"N","li","pre","post","2",0.139,0.135,0.0614715145916794,0.0123709396259993,0.0614715145916794,0.0123709396259993,0.00043218993210123,1.20692504521914,-0.267923891828576,0.722808620197486,7.47657131120096,1.53448529028387,0.0133585056630783,0.010805335318147,0.0942324065481896,0.145508507895916,313.50317643047,12.5563810116413,0.385676800714118,0.0718495168348563,0.734651489296455,0.0521756362088101,10.6084057187359,2.84104351078258,1,0,0.811049315796382,0,0.068,0.065,0.0160080765668471,0.00395035814188062,0.0160080765668471,0.00395035814188062,-0.0001590364759333,-1.69617934730819,1.78117466637847,-1.1832160294561,5.35622850093877,0.282435346396992,0.429332161993055,0.256667835947754,0.0119904764424518,0.241483258434093,297.486901276787,20.7407209346735,0.622758176997053,0.114008701938483,0.880416212742074,0.0348745794546783,14.5495980687772,8.45030849429092,1,0,0.0531129932682077,0.587115740349616,0.286,0.285,0.0382136242885862,0.0181417631502122,0.0382136242885862,0.0181417631502122,-0.00013694463939665,-0.936210305645308,-0.671762426271341,0.147531131667577,7.24090405847588,1.28760118014349,0.00485864487203569,0.0283344210756663,0.0817084883352373,0.195591968637286,262.994425500243,27.1843664910372,0.434213901089393,0.0663514604310748,0.794685312387576,0.0342524245567154,8.33899376078404,2.86117553863299,0.265002947267168,0.0168665498110308,0.101148618336161,0.0180316893619104
"C01_T_03_I_5_A_blau_3","Catalan",1,"target",3,"information",5,6,"A","blau",NA,NA,"3",0.36,0.325,0.0259929048810447,0.0177413649666477,0.0305061395911644,0.0169281355086054,-0.00014426091312243,0.682293790882547,0.263594625505252,-0.47040037613338,6.2730718212937,0.983542361173158,0.0100829087036926,0.0611501034228147,0.0846734303592866,0.160526203607612,287.636624893402,22.8622489514326,0.524363381241074,0.143996025433288,0.834754257027743,0.0781031893220067,5.92205235052454,4.78280522227477,0.167746615371599,0.0232408906310025,2.04062963349977,0.956315078998152,0.321,0.355,0.084339789906995,0.0124346026901597,0.0889531025114466,0.019770806796263,3.09757750107622e-05,-1.73434780419187,-0.94047983805257,-1.1832160294561,5.51925337700665,0.793595537623362,0.00143695354385553,0.00136692477433367,-0.0446457480967048,0.131006213036394,275.608532800261,30.9814491368909,0.275097174516338,0.0435477304076815,0.716201916654448,0.0993607932369728,11.6896119357164,1.33755783849608,0.176458709687303,0.0774074282162579,4.31936543692794,1.1013717155784,0.12,0.155,0.0177892993345522,0.00701007062379226,0.0378565734714978,0.00997968243070918,8.16011574362565e-05,0.869314998236188,1.14659572965861,-0.497926781861904,8.14118142516246,1.83573049018954,0.0499903307845199,0.301440023926162,0.20687540435393,0.138890416826762,314.689021568725,38.9835476783485,0.628518892815171,0.0501346978008513,0.841416908760438,0.0193105246642673,11.0439416134191,6.4423687245008,0.265002947267168,0.0629713131805456,3.99625796006661,0.164237430924315
"C01_T_04_C_2_N_pel_2","Catalan",1,"target",4,"contrastive",2,3,"N","pel","pre","post","2",0.2,0.195,0.0848578397140879,0.0123180563092746,0.0848578397140879,0.0123180563092746,0.00041172952232855,-0.656984301442911,-0.707590847351521,-0.543330385312744,8.13448705849436,1.09122329564258,0.00252610196445624,0.0186472913268939,0.108718695342772,0.160985148565759,300.992323039653,27.5849130653906,0.396249794486137,0.061502464604671,0.785545670461616,0.0287693777338698,7.09563807360221,1.56123377049465,1,0,0.481088287864686,0,0.34,0.335,0.0493913570409689,0.0197211584380335,0.0493913570409689,0.0197211584380335,2.35364556017051e-05,-1.51020070212547,-0.94047983805257,-0.0903967909411806,7.56366040201165,0.793595537623362,0.0151770276619049,0.133412570615594,0.071429841988271,0.204749082083482,299.258687485405,28.5357439381927,0.446599128284272,0.126394996505474,0.773965863044137,0.0618897878168992,11.6896119357164,3.06810635378441,0.176458709687303,0.0568090169207395,0.0504706167256932,0.00603521841947426,0.179,0.175,0.0741257570055892,0.0219839350598848,0.0741257570055892,0.0219839350598848,2.16911520994766e-06,-0.146389425343909,-0.869541024127123,0.426619052799189,7.53707901189346,1.58020781425954,0.0163335069857173,0.0571623100613966,0.0405099021551036,0.128263886586087,262.26082250823,15.3811953322206,0.383834404846164,0.0809217070786567,0.752821904714618,0.0698254984994413,9.04805037432772,2.8508497267869,0.99858436253621,0.0150528710692033,0.0767352751759219,0.0119993383218489
"C01_T_04_C_8_A_ne_3","Catalan",1,"target",4,"contrastive",8,9,"A","ne","lorpre","post","3",0.222,0.215,0.0763734043480242,0.0150027798289397,0.0763734043480242,0.0150027798289397,0.0003123202111768,-1.12162227796284,1.23454856074309,0.266215073842583,6.29443395162122,1.70643329095549,0.00612500245258241,0.0137810119222749,0.0742226513343114,0.209620409868734,274.71288675699,15.5018919510629,0.458542532266258,0.0754055707636353,0.785708956354291,0.0442800634673996,7.76771035143835,3.98735870288791,0.281371284067774,0.0124494737886093,3.42010559532058,0,0.214,0.205,0.0765278758149616,0.0386079497687768,0.0765278758149616,0.0386079497687768,-0.00024216494435539,-0.931868143591953,1.47110533665755,1.76374950861924,5.55023870041851,2.30321868706957,0.0157627468828445,0.0963405623527487,0.0422062980623602,0.152445283381878,304.483052271041,16.3273247196862,0.41832632034712,0.0614447596894139,0.814071187965894,0.0349944812439445,5.17061293776202,2.43457841738872,0.29531750105493,0.00962694116899483,0.0181032370605863,0.797057238941393,0.14,0.135,0.0382367300416769,0.00980410667519455,0.0382367300416769,0.00980410667519455,-0.00034210054886064,0.894894028198548,-0.165273440998826,-0.497926781861904,6.39407063850591,1.4561336361788,0.0324688239303114,0.12393392497176,0.0245580814981952,0.147230482614997,284.670149677636,11.6339088214401,0.543633363284617,0.118519007069509,0.83110073997648,0.0484147124118931,5.09433845097728,2.72656126456866,0.99918155096479,0.00658468941867154,0.377555381075007,0.164237430924315
"C01_T_05_R_2_N_pel_2","Catalan",1,"target",5,"corrective",2,3,"N","pel","pre","post","2",0.206,0.205,0.0668229185366565,0.0266984967558694,0.0668229185366565,0.0266984967558694,0.00055937279154381,-0.854988132438124,-0.647012892088054,1.08235546232807,7.24121225660525,1.23158207211568,0.00662347035325844,0.0938049987044896,0.150845999354553,0.17320159659588,311.996665898281,30.5452642636004,0.414327975719,0.0836194765078208,0.790521923549889,0.0409792474903792,5.9360979534551,1.98820831705111,1,0.035409321286507,0.720978517346381,0,0.192,0.185,0.0247414562515514,0.00847018381376066,0.0247414562515514,0.00847018381376066,0.00011100422270429,-1.65530874906869,4.06523660015064,1.08921938654143,5.24788932330261,2.6458939080806,0.0987188801537457,0.0967371651811108,0.0740644854463619,0.197484874773182,314.806591536343,31.7705105076081,0.616491757795357,0.136645264793873,0.870275448119632,0.0655997624123599,6.49997488986745,3.78231822547363,1,0,2.76091418268625,0.535316374424217,0.085,0.075,0.058139064622923,0.00949875467203644,0.058139064622923,0.00949875467203644,-0.00025623627994221,-0.508694314382516,-0.684149259090325,2.30517137088899,7.22075336402431,1.24547580800638,0.00311214704042828,0.00264126210330415,0.14693220384995,0.160587626109451,266.274488046137,18.1549130268681,0.358610218651138,0.0614600665793479,0.762751480340176,0.0322783812669179,6.74014554451095,2.16873668425824,1,0,0.0550110362820934,0.438140860739252
"C01_T_05_R_8_A_ne_3","Catalan",1,"target",5,"corrective",8,9,"A","ne","lorpre","post","3",0.201,0.195,0.0527377459582019,0.0158656627904963,0.0527377459582019,0.0158656627904963,-3.7319462276657e-05,0.722541141779765,0.333302732579594,-0.543330385312744,5.90932003972613,1.2612966606931,0.00820041315451159,0.0478495743406953,0.0778527797353529,0.179547189665074,270.285395184092,22.7805402530605,0.488147897126826,0.126026989900076,0.833651902980351,0.064542239068902,9.78056402551436,4.55286099479919,1,0,0.297323479882747,0.364460467424488,0.147,0.145,0.0756478950368508,0.0210523237225252,0.0756478950368508,0.0210523237225252,0.00011516397108371,-0.877206261089179,-0.289092442841678,0.266281250870533,6.12160102709223,1.02102850755702,0.029605422444135,0.0921308957923837,0.0733705521586611,0.153864390284057,296.620478920337,17.0301775579366,0.492125179529922,0.0612044992398124,0.842009167314414,0.0383614048228425,6.12389843576769,2.03113444919331,1,0,0.27098921645876,0.0887837047147303,0.137,0.135,0.0182669734610825,0.00702387798374691,0.0182669734610825,0.00702387798374691,-0.00015048705151079,0.825934507069727,0.967283568138188,-0.497926781861904,8.14118142516246,0.815019037447073,7.90916043347245e-06,0.301440023926162,0.0615046064273937,0.174496060010458,304.647905653004,19.4719347589683,0.628518892815171,0.093721876285447,0.887601568112984,0.0259202652701006,4.74009165155135,0.693805497368224,0.982666979998111,0.0113627440682642,3.99625796006661,0.438140860739252
