"fileName","language","participant","itemType","itemNum","focus","annotationNum","annotationNumTarget","word","syllText","syllTextPre","syllTextPost","percProm","duration","duration_noSilence","ampl_median","ampl_noSilence_median","env_slope","pitch_median_norm","pitch_sd_norm","f0_slope_norm","specCentroid_median","entropy_median","HNR_median","amEnvDep_median","fmDep_median","durationPre","duration_noSilencePre","ampl_medianPre","ampl_noSilence_medianPre","env_slopePre","pitch_median_normPre","pitch_sd_normPre","f0_slope_normPre","specCentroid_medianPre","entropy_medianPre","HNR_medianPre","amEnvDep_medianPre","fmDep_medianPre","durationPost","duration_noSilencePost","ampl_medianPost","ampl_noSilence_medianPost","env_slopePost","pitch_median_normPost","pitch_sd_normPost","f0_slope_normPost","specCentroid_medianPost","entropy_medianPost","HNR_medianPost","amEnvDep_medianPost","fmDep_medianPost"
"G01_T_01_F_3_Adj_gʁy-_3","German",1,"target",1,"filler",3,4,"A","gʁy-","pre","postpre","3",0.401,0.345,0.0364738797141705,0.053833420683542,0.00054807385596265,-0.00504893137689492,0.339082580091766,0.742784941503271,241.246913225086,0.562967974197954,9.67129423201233,0.364864677434628,1.00311622888846,0.254,0.245,0.0192790499547529,0.0192790499547529,-7.35143035044555e-05,0.448111916427066,2.31700659529397,-0.0295967565264264,290.663452975314,0.46721438623714,6.27863247439341,0.351031702645956,3.10997460553049,0.256,0.255,0.0637991416640778,0.0637991416640778,-0.00055873969732766,-0.342465244435293,1.22079386651771,-0.520418861071103,272.424081995261,0.51837446161694,7.92016934788841,0.297317753182002,0.90451590738807
"G01_T_01_F_5_N_kɔf_1","German",1,"target",1,"filler",5,6,"N","kɔf","postpre","post","1",0.181,0.175,0.0255613347826267,0.0255613347826267,2.59299355579781e-05,-0.537321656087518,0.867291749690527,-1.3122181263069,267.67987974497,0.62210235811833,5.94907543410586,0.997181451459551,1.77395655544135,0.256,0.255,0.0637991416640778,0.0637991416640778,-0.00055873969732766,-0.342465244435293,1.22079386651771,-0.520418861071103,272.424081995261,0.51837446161694,7.92016934788841,0.297317753182002,0.90451590738807,0.3,0.215,0.00799852419869631,0.0140176712143546,-9.34287169298142e-05,-0.743828657403361,-0.778581843071301,0.754153050042099,276.275888668224,0.625977194842196,4.17173739916287,0.16920391597945,0.0308061605445137
"G01_T_02_I_2_Adj_li-_2","German",1,"target",2,"information",2,3,"A","li-","pre","post","2",0.17,0.165,0.0358275685857823,0.0358275685857823,0.00065356961598988,0.228203834753817,0.226358999664588,1.82407405741431,226.129567766886,0.519469996572418,10.8689031971229,1,0.248210076763607,0.206,0.205,0.033810398670305,0.033810398670305,-7.27656956410437e-05,0.255263391648474,-0.796679823195954,-0.0698356633953719,292.355270706369,0.570654742299935,6.9965495439829,1,0.112629102847301,0.138,0.135,0.0887059746014744,0.0887059746014744,-0.00023244645855986,0.122711159467587,-0.399452274341476,-1.34076857960308,318.221337817128,0.403440469958133,6.77273638013971,1,0.286931219285329
"G01_T_02_I_5_N_gaː_1","German",1,"target",2,"information",5,6,"N","gaː","pre","post","1",0.26,0.255,0.0443760461245602,0.0443760461245602,-2.97230879293214e-05,-0.306795022831554,1.78263786184278,0.0540274912524273,287.943553397066,0.647800670286162,5.12979542735833,0.302609287634035,1.15359727408388,0.125,0.115,0.0598172885231626,0.0598172885231626,-0.00024825457038824,1.16333798643808,-0.588199469803467,-0.533254688499755,302.930587713761,0.541383690691623,10.2917644952812,0.992557853170156,1.37237381451221,0.287,0.265,0.00899568485411432,0.0107636260914816,-0.00013711903950176,1.16333798643808,2.01874391690821,3.91377496850504,308.068570676858,0.464738610756198,4.17173739916287,0.224314055041013,1.58649416305345
"G01_T_03_I_3_Adj_liː_2","German",1,"target",3,"information",3,4,"A","liː","pre","post","2",0.308,0.295,0.0214598478427561,0.0221603340857063,0.00017371555283785,-0.224722773742527,0.649131322140962,0.606389922924743,217.262264091364,0.525033189845213,7.49354570796567,0.31483867659401,1.06059527145095,0.209,0.205,0.041164422560168,0.041164422560168,-0.00019784545868909,0.395164973478766,-0.738271569405242,-0.0642040336442721,245.207381677506,0.480309157608726,9.28722805836224,0.637707034448482,0.202626468821435,0.133,0.125,0.0474331145825183,0.0474331145825183,5.33205885956438e-05,-0.924279285974637,-0.640721566623614,-0.399068910314966,271.063431285564,0.596920663412912,5.98843512680199,1,0.344706179870528
"G01_T_03_I_7_N_ʃtɪft_1","German",1,"target",3,"information",7,8,"N","ʃtɪft","pre",NA,"1",0.432,0.405,0.00900441444125369,0.00976036542826884,-4.19092482329034e-05,-0.360773231249344,-0.515639083468004,0.0540274912524273,285.568475816522,0.559355389886279,5.12921508737295,0.266637316421717,0.0263152190838479,0.143,0.135,0.0266500324191778,0.0266500324191778,-2.58103109263375e-05,0.25952189873874,-0.733443681774559,0.538352649195996,267.716285242581,0.528501602722246,5.42113359822623,1,0.0687694764993668,0.177,0.175,0.00899568485411432,0.0188217397156503,-1.19596965025413e-05,-0.743828657403361,-0.388036177761063,-0.64195146317294,348.383815559333,0.570485917833393,9.71288617840204,1,2.03101096927128
"G01_T_04_C_2_Adj_gʁy_","German",1,"target",4,"contrastive",2,3,"A","gʁy","pre","postpre","2",0.446,0.445,0.019762876375841,0.019762876375841,9.61045579814836e-05,-1.18120353531735,0.193868935384542,0.364727594315877,233.136046192202,0.535070027175694,6.84673898901503,0.303341749141524,0.849909354078777,0.168,0.165,0.0112960709403796,0.0112960709403796,-7.45414692015594e-05,0.123739528861076,-0.289490037256684,-1.8704880021616,233.110730692197,0.477690249111733,5.9192042272905,1,0.163407045892068,0.17,0.165,0.0391753098964159,0.0391753098964159,-0.00017835337388169,-0.275189737790993,-0.259640615295337,-0.4554550148789,269.268272442982,0.528882745285889,8.50409535959277,1,0.193051364662692
"G01_T_04_C_4_N_kɛɐ_2","German",1,"target",4,"contrastive",4,5,"N","kɛɐ","postpre","post","2",0.28,0.275,0.0302244395531358,0.030814882889373,0.00012659018978321,-1.06628269919584,-0.810492961885331,0.483141512035626,294.525161716714,0.541086375600189,4.97791337917782,0.451109261006877,0.0510176629450893,0.17,0.165,0.0391753098964159,0.0391753098964159,-0.00017835337388169,-0.275189737790993,-0.259640615295337,-0.4554550148789,269.268272442982,0.528882745285889,8.50409535959277,1,0.193051364662692,0.177,0.175,0.0237711645299806,0.0237711645299806,-7.50185503896783e-06,-0.924279285974637,1.35242767650986,-0.279336513269035,294.977122007741,0.563868159645544,7.54844237234691,1,1.56321572062536
"G01_T_05_R_2_Adj_gʁyn_2","German",1,"target",5,"corrective",2,3,"A","gʁyn","pre","postpre","2",0.443,0.435,0.0265663794625425,0.0403953775763597,0.0001706481664692,-1.1735958844094,-0.592988561500043,0.0159741693297874,210.155986475177,0.519705002030592,11.8276917209276,0.353049458892814,0.5511257396548,0.436,0.435,0.00707772693074441,0.00923331997654998,-2.58103109263375e-05,-0.83781548348136,2.31700659529397,0.0596574095875754,321.293014414951,0.549895575672516,4.87693881677552,0.219049412897296,1.06487219317339,0.123,0.115,0.0198809949987316,0.0198809949987316,-7.97171119843291e-05,0.483544949997191,1.22079386651771,-2.18054442576343,216.810952771452,0.519764949783441,4.15221320509931,0.98155861579973,3.79211942069992
"G01_T_05_R_4_N_kɛʁ_1","German",1,"target",5,"corrective",4,5,"N","kɛʁ","postpre","post","1",0.263,0.255,0.00904761914288011,0.00904761914288011,7.49176254758159e-07,0.410893776910413,0.760882822372455,-0.778685345651605,269.509023875614,0.597848354457008,5.01650649842301,0.274610677122502,2.32979471238542,0.123,0.115,0.0198809949987316,0.0198809949987316,-2.58103109263375e-05,1.17836915073935,0.426230030295761,-1.8704880021616,216.810952771452,0.519764949783441,4.15221320509931,0.98155861579973,0.694784436719594,0.283,0.275,0.00891800506507409,0.00891800506507409,-4.14123195565104e-05,0.483544949997191,1.22079386651771,-1.21054908907387,346.475779207679,0.511766470878983,9.46361051571779,0.354131807945421,3.79211942069992
