"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","C14_T_07_I",15,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"2","C14_T_07_I",25,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"3","C14_T_07_I",35,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"4","C14_T_07_I",45,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"5","C14_T_07_I",55,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"6","C14_T_07_I",65,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"7","C14_T_07_I",75,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"8","C14_T_07_I",85,0,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"9","C14_T_07_I",95,0.0194616700896327,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"10","C14_T_07_I",105,0.0389825140048357,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"11","C14_T_07_I",115,0.0390425557198052,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"12","C14_T_07_I",125,0.0390477632381875,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"13","C14_T_07_I",135,0.0391328901899596,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"14","C14_T_07_I",145,0.0393952738115621,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"15","C14_T_07_I",155,0.0398762658107398,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"16","C14_T_07_I",165,0.040569330466422,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"17","C14_T_07_I",175,0.041416213646793,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"18","C14_T_07_I",185,0.0423379021758694,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"19","C14_T_07_I",195,0.0432406107363239,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"20","C14_T_07_I",205,0.0440485974541718,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"21","C14_T_07_I",215,0.0446691088397054,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
"22","C14_T_07_I",225,0.045014620462052,0,NA,NA,NA,NA,NA,NA,14,"Catalan","target",7,"information","female",19,"Catalan, Slovak"
