"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","C20_T_35_B",15,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"2","C20_T_35_B",25,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"3","C20_T_35_B",35,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"4","C20_T_35_B",45,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"5","C20_T_35_B",55,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"6","C20_T_35_B",65,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"7","C20_T_35_B",75,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"8","C20_T_35_B",85,0,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"9","C20_T_35_B",95,0.00242559424202865,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"10","C20_T_35_B",105,0.0047841577934254,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"11","C20_T_35_B",115,0.0046592530234546,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"12","C20_T_35_B",125,0.00455866863264947,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"13","C20_T_35_B",135,0.00448831102891784,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"14","C20_T_35_B",145,0.00445078051129381,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"15","C20_T_35_B",155,0.00445507648936996,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"16","C20_T_35_B",165,0.00450690103739335,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"17","C20_T_35_B",175,0.00460632444520479,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"18","C20_T_35_B",185,0.00475726839954359,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"19","C20_T_35_B",195,0.00495558820618259,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"20","C20_T_35_B",205,0.00518477465599911,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"21","C20_T_35_B",215,0.00542614326761517,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"22","C20_T_35_B",225,0.00566336727606169,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"23","C20_T_35_B",235,0.00588125470642961,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"24","C20_T_35_B",245,0.00606401977282846,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"25","C20_T_35_B",255,0.00619752718581071,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
"26","C20_T_35_B",265,0.00627013119867405,0,NA,NA,"",NA,NA,NA,20,"Catalan","target",35,"background","male",39,"Catalan, Spanish"
