"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G08_P_01_I",15,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"2","G08_P_01_I",25,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"3","G08_P_01_I",35,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"4","G08_P_01_I",45,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"5","G08_P_01_I",55,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"6","G08_P_01_I",65,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"7","G08_P_01_I",75,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"8","G08_P_01_I",85,0,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"9","G08_P_01_I",95,4.86205498906598e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"10","G08_P_01_I",105,9.71658320021596e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"11","G08_P_01_I",115,9.69928339303598e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"12","G08_P_01_I",125,9.67826778537315e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"13","G08_P_01_I",135,9.65367293741553e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"14","G08_P_01_I",145,9.62485576573303e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"15","G08_P_01_I",155,9.59365912231981e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"16","G08_P_01_I",165,9.5626309541447e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"17","G08_P_01_I",175,9.53085117402504e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"18","G08_P_01_I",185,9.49689733823298e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"19","G08_P_01_I",195,9.46174173088631e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"20","G08_P_01_I",205,9.42725422597554e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"21","G08_P_01_I",215,9.39493813312066e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"22","G08_P_01_I",225,9.36461678681383e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"23","G08_P_01_I",235,9.33664713851192e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"24","G08_P_01_I",245,9.31246927226094e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"25","G08_P_01_I",255,9.29346392881504e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"26","G08_P_01_I",265,9.28242133692841e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"27","G08_P_01_I",275,9.28163671098396e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"28","G08_P_01_I",285,9.29338963769556e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"29","G08_P_01_I",295,9.31816380768687e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"30","G08_P_01_I",305,9.35221565231521e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"31","G08_P_01_I",315,9.39135812524543e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"32","G08_P_01_I",325,9.43185313801111e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"33","G08_P_01_I",335,9.46983135244144e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"34","G08_P_01_I",345,9.50049782010367e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"35","G08_P_01_I",355,9.51864977134604e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"36","G08_P_01_I",365,9.52237331549268e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"37","G08_P_01_I",375,9.51519289489723e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"38","G08_P_01_I",385,9.50444072235717e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"39","G08_P_01_I",395,9.49719963368501e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"40","G08_P_01_I",405,9.49710455804246e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"41","G08_P_01_I",415,9.50487460094507e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
"42","G08_P_01_I",425,9.51852315890516e-05,0,NA,NA,"","","1","",8,"German","practice",1,"information","female",28,"German"
