"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G27_T_25_C",15,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"2","G27_T_25_C",25,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"3","G27_T_25_C",35,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"4","G27_T_25_C",45,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"5","G27_T_25_C",55,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"6","G27_T_25_C",65,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"7","G27_T_25_C",75,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"8","G27_T_25_C",85,0,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"9","G27_T_25_C",95,5.2530581472951e-05,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"10","G27_T_25_C",105,0.000103669526962259,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"11","G27_T_25_C",115,0.00010165222566985,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"12","G27_T_25_C",125,0.000100768326605935,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"13","G27_T_25_C",135,0.000100498842559909,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"14","G27_T_25_C",145,0.000100623529002039,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"15","G27_T_25_C",155,0.000100968606084803,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"16","G27_T_25_C",165,0.000101401409875316,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"17","G27_T_25_C",175,0.000101824228772939,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"18","G27_T_25_C",185,0.000102181925380856,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"19","G27_T_25_C",195,0.000102448828040934,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"20","G27_T_25_C",205,0.000102605883881032,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"21","G27_T_25_C",215,0.000102626070506899,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"22","G27_T_25_C",225,0.00010249678472258,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
"23","G27_T_25_C",235,0.000102243223624966,0,NA,NA,"",NA,NA,NA,27,"German","target",25,"contrastive","male",35,"German"
