"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G32_T_06_F",15,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"2","G32_T_06_F",25,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"3","G32_T_06_F",35,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"4","G32_T_06_F",45,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"5","G32_T_06_F",55,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"6","G32_T_06_F",65,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"7","G32_T_06_F",75,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"8","G32_T_06_F",85,0,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"9","G32_T_06_F",95,5.01603058597575e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"10","G32_T_06_F",105,0.0001000669754772,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"11","G32_T_06_F",115,9.95069298056079e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"12","G32_T_06_F",125,9.88660162879086e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"13","G32_T_06_F",135,9.8197878887328e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"14","G32_T_06_F",145,9.75457413715944e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"15","G32_T_06_F",155,9.69341975538172e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"16","G32_T_06_F",165,9.63919316419495e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"17","G32_T_06_F",175,9.59388814946587e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"18","G32_T_06_F",185,9.55628767449074e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"19","G32_T_06_F",195,9.52326774399296e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"20","G32_T_06_F",205,9.49349545278676e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"21","G32_T_06_F",215,9.46490974519886e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"22","G32_T_06_F",225,9.43447902695031e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"23","G32_T_06_F",235,9.40271515958344e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"24","G32_T_06_F",245,9.37318265102557e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
"25","G32_T_06_F",255,9.34926630707569e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",6,"filler","female",19,"German"
