"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age","Native_language"
"1","G32_T_26_R",15,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"2","G32_T_26_R",25,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"3","G32_T_26_R",35,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"4","G32_T_26_R",45,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"5","G32_T_26_R",55,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"6","G32_T_26_R",65,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"7","G32_T_26_R",75,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"8","G32_T_26_R",85,0,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"9","G32_T_26_R",95,4.75908911784131e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"10","G32_T_26_R",105,9.52754928593237e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"11","G32_T_26_R",115,9.55142431693441e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"12","G32_T_26_R",125,9.58460027991031e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"13","G32_T_26_R",135,9.62483974961213e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"14","G32_T_26_R",145,9.66850989621389e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"15","G32_T_26_R",155,9.71155200175921e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"16","G32_T_26_R",165,9.74953110283919e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"17","G32_T_26_R",175,9.77647176910562e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"18","G32_T_26_R",185,9.78789395137259e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"19","G32_T_26_R",195,9.78127191154541e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"20","G32_T_26_R",205,9.75633684465536e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"21","G32_T_26_R",215,9.71693870420303e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"22","G32_T_26_R",225,9.66971464023813e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"23","G32_T_26_R",235,9.61962758340779e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"24","G32_T_26_R",245,9.57041895464111e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"25","G32_T_26_R",255,9.5252176716769e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"26","G32_T_26_R",265,9.48485539248635e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"27","G32_T_26_R",275,9.45166270669531e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"28","G32_T_26_R",285,9.42790578992859e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"29","G32_T_26_R",295,9.4123600237292e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"30","G32_T_26_R",305,9.40355865786755e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"31","G32_T_26_R",315,9.39990908904005e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"32","G32_T_26_R",325,9.39925104787805e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"33","G32_T_26_R",335,9.40027567818291e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"34","G32_T_26_R",345,9.40216261270933e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"35","G32_T_26_R",355,9.40545143750381e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"36","G32_T_26_R",365,9.41041104735385e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"37","G32_T_26_R",375,9.41766530596183e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"38","G32_T_26_R",385,9.42890719415839e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"39","G32_T_26_R",395,9.4443354748043e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"40","G32_T_26_R",405,9.46185702382299e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"41","G32_T_26_R",415,9.47840759179395e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"42","G32_T_26_R",425,9.49332577727424e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"43","G32_T_26_R",435,9.50713386579049e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"44","G32_T_26_R",445,9.52053902018552e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"45","G32_T_26_R",455,9.5349943726233e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"46","G32_T_26_R",465,9.55078770488179e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"47","G32_T_26_R",475,9.56678637187612e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"48","G32_T_26_R",485,9.58153941229912e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"49","G32_T_26_R",495,9.59644506594937e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"50","G32_T_26_R",505,9.61426898562029e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"51","G32_T_26_R",515,9.63565098776016e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"52","G32_T_26_R",525,9.65929691458569e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"53","G32_T_26_R",535,9.68282994776589e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"54","G32_T_26_R",545,9.70162322936337e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"55","G32_T_26_R",555,9.70947489274698e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"56","G32_T_26_R",565,9.70314602993742e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"57","G32_T_26_R",575,9.68196736966188e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"58","G32_T_26_R",585,9.64667884342422e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"59","G32_T_26_R",595,9.60205865315838e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"60","G32_T_26_R",605,9.55617172411463e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"61","G32_T_26_R",615,9.51670094740505e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"62","G32_T_26_R",625,9.49729200579383e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"63","G32_T_26_R",635,9.5509607803864e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"64","G32_T_26_R",645,9.8808204087036e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"65","G32_T_26_R",655,0.000107491749151499,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"66","G32_T_26_R",665,0.000122660820681679,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"67","G32_T_26_R",675,0.000143777424370945,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"68","G32_T_26_R",685,0.000169124983186446,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"69","G32_T_26_R",695,0.00019632143473659,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"70","G32_T_26_R",705,0.00022277652926354,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"71","G32_T_26_R",715,0.00024600980409946,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"72","G32_T_26_R",725,0.000263841062446206,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"73","G32_T_26_R",735,0.000274553593411094,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"74","G32_T_26_R",745,0.000277112622779113,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"75","G32_T_26_R",755,0.000271283430293898,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"76","G32_T_26_R",765,0.00025763935421141,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"77","G32_T_26_R",775,0.000237514270945545,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"78","G32_T_26_R",785,0.000212877605791693,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"79","G32_T_26_R",795,0.000186138464016613,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"80","G32_T_26_R",805,0.000159913519139162,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"81","G32_T_26_R",815,0.000136762715117155,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"82","G32_T_26_R",825,0.000118844644695307,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"83","G32_T_26_R",835,0.000107368408551136,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"84","G32_T_26_R",845,0.000101331608378244,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"85","G32_T_26_R",855,9.83658834194308e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"86","G32_T_26_R",865,9.68267097438038e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"87","G32_T_26_R",875,9.59156219450024e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"88","G32_T_26_R",885,9.5353132004052e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"89","G32_T_26_R",895,9.50864458730821e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"90","G32_T_26_R",905,9.50735811206876e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"91","G32_T_26_R",915,9.52413758091e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"92","G32_T_26_R",925,9.57689665096196e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"93","G32_T_26_R",935,9.74057516485164e-05,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"94","G32_T_26_R",945,0.000100769330485962,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"95","G32_T_26_R",955,0.000105815118510151,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"96","G32_T_26_R",965,0.000112182744023191,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"97","G32_T_26_R",975,0.00011932385231382,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"98","G32_T_26_R",985,0.000126564738975242,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"99","G32_T_26_R",995,0.000133224491383339,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"100","G32_T_26_R",1005,0.000138667824955037,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"101","G32_T_26_R",1015,0.000142353757799015,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"102","G32_T_26_R",1025,0.000143929281646686,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"103","G32_T_26_R",1035,0.000143290067227454,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"104","G32_T_26_R",1045,0.000140555097536755,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"105","G32_T_26_R",1055,0.000135993614588212,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"106","G32_T_26_R",1065,0.000130058884527649,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"107","G32_T_26_R",1075,0.000123577823510478,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"108","G32_T_26_R",1085,0.000118658673385256,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"109","G32_T_26_R",1095,0.000122252038379438,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"110","G32_T_26_R",1105,0.000160664724796436,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"111","G32_T_26_R",1115,0.000302176761190949,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"112","G32_T_26_R",1125,0.000640332263011006,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"113","G32_T_26_R",1135,0.00126709993137325,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"114","G32_T_26_R",1145,0.00226756453222077,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"115","G32_T_26_R",1155,0.00370215559529861,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"116","G32_T_26_R",1165,0.00558715491518435,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"117","G32_T_26_R",1175,0.00789175714361389,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"118","G32_T_26_R",1185,0.0105445234665119,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"119","G32_T_26_R",1195,0.0134398909950455,0,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"120","G32_T_26_R",1205,0.0164464366429546,224.339172363281,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"121","G32_T_26_R",1215,0.0194167787998886,221.54345703125,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"122","G32_T_26_R",1225,0.0222040067574459,221.826416015625,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"123","G32_T_26_R",1235,0.0246793673527052,220.73193359375,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"124","G32_T_26_R",1245,0.0267475680521344,220.387786865234,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"125","G32_T_26_R",1255,0.0283583442046977,220.063613891602,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"126","G32_T_26_R",1265,0.0295103537155698,219.815872192383,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"127","G32_T_26_R",1275,0.0302472562570307,220.400436401367,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"128","G32_T_26_R",1285,0.0306466090080543,220.697052001953,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"129","G32_T_26_R",1295,0.030798743718091,219.928115844727,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"130","G32_T_26_R",1305,0.0307764502734706,222.387390136719,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"131","G32_T_26_R",1315,0.0306080621941595,221.583206176758,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"132","G32_T_26_R",1325,0.0302963213818756,223.132568359375,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"133","G32_T_26_R",1335,0.0298457591052683,224.487014770508,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"134","G32_T_26_R",1345,0.0292641462652342,225.346603393555,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"135","G32_T_26_R",1355,0.0285874975111243,226.049667358398,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"136","G32_T_26_R",1365,0.0279102421828644,226.662338256836,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"137","G32_T_26_R",1375,0.0273870580910478,227.432006835938,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"138","G32_T_26_R",1385,0.0271948761644551,227.858245849609,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"139","G32_T_26_R",1395,0.0274682580868235,229.855239868164,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"140","G32_T_26_R",1405,0.0282598328436337,230.645568847656,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"141","G32_T_26_R",1415,0.0295490643231003,231.445999145508,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"142","G32_T_26_R",1425,0.0312720114839472,227.78825378418,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"143","G32_T_26_R",1435,0.0333409594083827,225.853012084961,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"144","G32_T_26_R",1445,0.0356496915701293,235.069549560547,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"145","G32_T_26_R",1455,0.0380750276750487,226.823348999023,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"146","G32_T_26_R",1465,0.0404742745603505,228.674652099609,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"147","G32_T_26_R",1475,0.0426663787749101,227.609512329102,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"148","G32_T_26_R",1485,0.0444389896512722,225.610290527344,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"149","G32_T_26_R",1495,0.0456149770901906,225.210830688477,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"150","G32_T_26_R",1505,0.0461162561142335,224.728317260742,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"151","G32_T_26_R",1515,0.0459670381954635,227.649429321289,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"152","G32_T_26_R",1525,0.0452729144801699,225.347702026367,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"153","G32_T_26_R",1535,0.0441999342433494,228.943923950195,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"154","G32_T_26_R",1545,0.0429219183056187,225.747344970703,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"155","G32_T_26_R",1555,0.0415698776051121,223.034286499023,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"156","G32_T_26_R",1565,0.0402096087413638,226.964889526367,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"157","G32_T_26_R",1575,0.0388314609613714,231.904434204102,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"158","G32_T_26_R",1585,0.0373869922341467,231.594528198242,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"159","G32_T_26_R",1595,0.0358476619296011,227.057708740234,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"160","G32_T_26_R",1605,0.0342078987492098,228.655792236328,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"161","G32_T_26_R",1615,0.0324802341325719,228.161773681641,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"162","G32_T_26_R",1625,0.0306931102373705,227.046203613281,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"163","G32_T_26_R",1635,0.0288917964513395,229.132797241211,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"164","G32_T_26_R",1645,0.0271772499061693,221.906753540039,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"165","G32_T_26_R",1655,0.0257183295395001,225.713409423828,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"166","G32_T_26_R",1665,0.0246943154752865,213.3125,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"167","G32_T_26_R",1675,0.0242252784873499,221.468765258789,NA,NA,"",NA,NA,NA,32,"German","target",26,"corrective","female",19,"German"
"168","G32_T_26_R",1685,0.0243605524012195,226.317687988281,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"169","G32_T_26_R",1695,0.0250644552035643,226.319259643555,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"170","G32_T_26_R",1705,0.0261909836526781,236.261001586914,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"171","G32_T_26_R",1715,0.0275299726866715,0,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"172","G32_T_26_R",1725,0.0288445588260543,229.86181640625,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"173","G32_T_26_R",1735,0.0298946926252764,221.809555053711,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"174","G32_T_26_R",1745,0.0305082520648575,220.223358154297,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"175","G32_T_26_R",1755,0.0305924623595427,219.853851318359,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"176","G32_T_26_R",1765,0.0301096884516345,214.677108764648,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"177","G32_T_26_R",1775,0.0290914397015168,215.324905395508,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"178","G32_T_26_R",1785,0.0276257658126208,216.173690795898,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"179","G32_T_26_R",1795,0.0258614439815157,191.283889770508,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"180","G32_T_26_R",1805,0.024043282283298,198.569442749023,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"181","G32_T_26_R",1815,0.022485436457516,199.691452026367,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"182","G32_T_26_R",1825,0.0215203020524607,193.931716918945,NA,NA,"",NA,"1","pre",32,"German","target",26,"corrective","female",19,"German"
"183","G32_T_26_R",1835,0.0214101444994474,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"184","G32_T_26_R",1845,0.0222214438125885,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"185","G32_T_26_R",1855,0.0237895922090565,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"186","G32_T_26_R",1865,0.0258220493118679,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"187","G32_T_26_R",1875,0.0280292186918992,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"188","G32_T_26_R",1885,0.0301640442771756,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"189","G32_T_26_R",1895,0.032023540703068,0,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"190","G32_T_26_R",1905,0.033460024523754,145.168014526367,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"191","G32_T_26_R",1915,0.0343777444437594,152.066421508789,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"192","G32_T_26_R",1925,0.0347365915011848,154.920639038086,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"193","G32_T_26_R",1935,0.0345417265057597,154.691101074219,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"194","G32_T_26_R",1945,0.0338213730962256,156.357757568359,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
"195","G32_T_26_R",1955,0.032650562662919,165.669799804688,"NP","N","","2","2","an",32,"German","target",26,"corrective","female",19,"German"
